Type,Location,Date,CrashesInYear,CrashesInPlace,FailureRate
ATR-72-202,Italy,2005,14,16,1
ATR-72-212,Indiana,1994,21,5,1
Aero Commander  520,Alaska,1956,10,26,1
Aerospatiale Alenia ATR-42,Kosovo,1999,28,1,1
Aerospatiale BAe Concorde 101,France,2000,25,17,1
Aerospatiale Caravelle Super 10B,United Arab Emirates,1972,17,3,1
Aerospatiale Nord 262A-33,California,1979,12,43,1
Airbus A-310-204,Thailand,1998,20,10,1
Airbus A-310-324ET,Russia,2006,11,25,1
Airbus A-320-233,Brazil,2007,10,12,2
Airbus A-320-233,Honduras,2008,9,2,2
Airbus A-330-243,Azores,2001,25,2,1
Airbus A-340,Canada,2005,14,13,1
Airbus A.320-214,Philippines,1998,20,16,1
Airbus A300-622R,Taiwan,1998,20,9,1
Airbus A300B2-1C,Algeria,1994,21,3,1
Airbus A300B4-203,Nepal,1992,16,6,1
Airbus A300B4-622R,Aichi,1994,21,1,2
Airbus A300B4-622R,South Korea,1994,21,3,2
Airbus A310-304,Nepal,1992,16,6,2
Airbus A310-304,Russia,1994,21,25,2
Airbus A320-211,Russia,2006,11,25,2
Airbus A320-212,Bahrain,2000,25,1,1
Airbus A330-203,570 miles northeast of Natal,2009,6,1,1
Airspeed Ambassador A5-57,Germany,1958,9,4,1
Antonov AN-24,Cuba,1997,25,4,1
Antonov AN-24 / Yakovlev Yak-40,Russia,1976,10,25,1
Antonov AN-24B,Egypt,1966,18,6,3
Antonov AN-24B,Italy,1995,19,16,3
Antonov AN-24B,Sudan,2005,14,3,3
Antonov AN-24RV,Sri Lanka,1998,20,1,2
Antonov AN-24V,Cambodia,2007,10,2,1
Antonov AN-28,Estonia,2003,20,1,1
BAC One-Eleven 203AE,Nebraska,1966,18,2,1
BAC One-Eleven 528FL,England,1990,14,7,1
BAC One-Eleven 529FR,Argentina,1981,6,2,1
BAC Super VC-10 1154,Ethiopia,1972,17,3,1
BAE Avro RJ100,Switzerland,2001,25,5,1
BAe 3101 Jetstream 31,Venezuela,2004,18,8,1
BAe Avro RJ-100,Turkey,2003,20,8,1
BAe Jetstream 3101-31,Pennsylvania,2000,25,14,1
Bae Jetstream 3201,Missouri,2004,18,9,1
Beech A36,Iowa,2003,20,8,1
Beechcraft 18H,Wisconsin,1967,18,4,1
Beechcraft 1900-C / Beech King Air A90,Illinois,1996,20,14,1
Beechcraft 1900C,New York,1992,16,32,3
Beechcraft 1900C-1,Philippines,1990,14,16,1
Beechcraft 99,Maine,1985,16,3,4
Beechcraft 99,Montana,2004,18,8,4
Beechcraft 99,Washington,1978,11,11,4
Beechcraft E18S,Louisiana,1973,15,3,2
Boeing 247B,California,1937,6,43,1
Boeing 247D,Utah,1936,5,9,2
Boeing 377 Stratocruiser,Brazil,1952,7,12,1
Boeing 737-230,Indonesia,2005,14,18,1
Boeing 737-31S,Greece,2005,14,5,1
Boeing 747-244B-SF,Nova Scotia,2004,18,2,1
Boeing 767-223ER,New York,2001,25,32,1
Boeing B-314 (flying boat),Portugal,1943,6,2,1
Boeing B-707-121,Maryland,1963,17,6,1
Boeing B-707-121B,Antigua,1965,18,1,1
Boeing B-707-123B,New York,1962,17,32,1
Boeing B-707-124,Missouri,1965,18,9,2
Boeing B-707-321B,Tahiti,1973,15,1,5
Boeing B-707-321C,Massachusett,1973,15,3,2
Boeing B-707-328C,Guadeloupe,1968,17,1,1
Boeing B-707-331B,Azores,1989,21,2,3
Boeing B-707-331B,California,1973,15,43,3
Boeing B-707-331B,off Kefallinia,1974,11,1,3
Boeing B-707-344C,South Africa (Namibia),1968,17,1,1
Boeing B-707-345C,Orly,1973,15,1,1
Boeing B-707-436,Mt. Fuji,1966,18,1,1
Boeing B-707-437,French Alps,1966,18,1,1
Boeing B-707-441,Peru,1962,17,8,1
Boeing B-727-113C,Horley,1969,14,1,1
Boeing B-727-121C,Vietnam,1974,11,3,1
Boeing B-727-134,Colombia,2002,24,12,1
Boeing B-727-21,N of  Santander,1988,18,1,2
Boeing B-727-224,Colorado,1975,5,11,3
Boeing B-727-224,Egypt,1973,15,6,3
Boeing B-727-225 Adv,Bolivia,1985,16,2,1
Boeing B-727-22QC,California,1969,14,43,1
Boeing B-727-231,Virginia,1974,11,11,2
Boeing B-727-251,Thiells,1974,11,1,1
Boeing B-727-251 / MD Douglas DC-9-14,Michigan,1990,14,10,1
Boeing B-727-2L5 / MiG23UB,Libya,1992,16,2,1
Boeing B-727-46,Colombia,1993,15,12,1
Boeing B-727-64,Canary Islands,1980,7,2,2
Boeing B-727-81,Alaska,1976,10,26,2
Boeing B-727-95,Virgin Islands,1976,10,3,1
Boeing B-737-209,China,1989,21,12,1
Boeing B-737-219,Kyrgyzstan,2008,9,1,1
Boeing B-737-222,D.C.,1982,12,2,4
Boeing B-737-230A,Turkey,1988,18,8,1
Boeing B-737-236,England,1985,16,7,1
Boeing B-737-241,Brazil,1989,21,12,1
Boeing B-737-244,Peru,2005,14,8,1
Boeing B-737-266,Malta,1985,16,1,1
Boeing B-737-275,British Columbia,1978,11,8,1
Boeing B-737-291,Colorado,1991,13,11,1
Boeing B-737-2A8,India,1993,15,8,3
Boeing B-737-2H6,near Kampung Ladang,1977,7,1,2
Boeing B-737-2K9,Cameroon,1995,19,2,1
Boeing B-737-2L9,Nigeria,2005,14,7,1
Boeing B-737-2P5,Thiland,1987,12,1,1
Boeing B-737-2T4,Algeria,2003,20,3,1
Boeing B-737-497,Indonesia,2007,10,18,1
Boeing B-737-4D7,Thailand,2001,25,10,1
Boeing B-737-4Q8,Indonesia,2007,10,18,1
Boeing B-737-4Y0,Turkey,1994,21,8,2
Boeing B-737-505,Russia,2008,9,25,1
Boeing B-737-7H4,Illinois,2005,14,14,1
Boeing B-737-8EH /EMB-135JB,Brazil,2006,11,12,1
Boeing B-737-T43,Croatia,1996,20,1,1
Boeing B-747,Indonesia,1982,12,18,1
Boeing B-747-121 / Boeing B-747-206B,Canary Islands,1977,7,2,1
Boeing B-747-130,Kenya,1974,11,3,1
Boeing B-747-168B / Ilyushin IL-76TD,India,1996,20,8,1
Boeing B-747-209B,Taiwan,2002,24,9,1
Boeing B-747-237B,110 miles West of Ireland,1985,16,1,2
Boeing B-747-237B,Maharashtra,1978,11,3,2
Boeing B-747-283B,Spain,1983,11,11,1
Boeing B-747-412,Taiwan,2000,25,9,1
Boeing B-747-SP-09,California,1985,16,43,1
Boeing B-747-SR46,near Ueno Village,1985,16,1,1
Boeing B-757-223,Valle del Cauca,1995,19,1,2
Boeing B-757-225,Domincan Republic,1996,20,1,1
Boeing B-767-200ER,Comoros,1996,20,1,2
Boeing B-767-200ER,South Korea,2002,24,3,2
Boeing B-767-233ER,Manitoba,1983,11,1,1
Boeing Vetrol 107 II helicopter,New York,1963,17,32,1
Bristol Britannia 102,Slovenia,1966,18,1,1
British Aerospace  BAe Jetstream 32EP,Mexico,2000,25,7,1
British Aerospace 3101 Jetstream 31,Washington,1989,21,11,1
British Aerospace BAe-125-800A,Minnesota,2008,9,6,1
British Aerospace BAe-146-200A,California,1987,12,43,1
British Aerospace Jetstream BA-3100,Minnesota,1993,15,6,1
Britten-Norman BN-2A-8 Islander,Alaska,1983,11,26,1
Canadair CL-601-2A12 Challenger,Colorado,2004,18,11,1
Canadair CRJ-100ER,France,2003,20,17,1
Canadair CRJ-200ER,Kentucky,2006,11,2,1
Casa 212-AB10 Aviocar,Chile,2000,25,4,1
Cessna 207 Skywagon,New Zealand,2002,24,6,1
Cessna 208B,Canada,2005,14,13,1
Cessna 208B Caravan I,Alaska,1997,25,26,3
Cessna 208B Caravan I Super Cargomaster,British Columbia,1998,20,8,5
Cessna 208B Caravan I Super Cargomaster,Washington,2000,25,11,5
Cessna 208B Cargomaster I,Alabama,2002,24,5,1
Cessna 208B Grand Caravan,Nicaragua,1999,28,1,4
Cessna 208B Grand Caravan I,Costa Rica,2000,25,3,1
Cessna 404 Titan Ambassador,Scotland,1999,28,3,1
Convair CV-240,Wyoming,1954,8,8,2
Convair CV-240-0,Japan,1964,14,10,5
Convair CV-240-0,Mississippi,1955,11,1,5
Convair CV-240-0,New Jersey,1952,7,5,5
Convair CV-240-0,New York,1953,11,32,5
Convair CV-240-0,Oklahoma,1957,10,3,5
Convair CV-440-0,Germany,1966,18,4,1
Convair CV-580,New Zealand,1989,21,6,7
Convair CV-580,Ohio,2004,18,9,7
Convair CV-580/De Hav. Twin Otter 100,Wisconsin,1972,17,4,1
Convair CV-880-22M-3,China,1967,18,12,1
Curtiss C-46,Idaho,1953,11,1,3
Curtiss C-46A-50-CU,New York,1951,12,32,1
De Havilland Dash-3,British Columbia,1995,19,8,1
Dornier 228-201,India,1998,20,8,2
Dornier 328-110,Italy,1999,28,16,1
Douglas C-47-DL,Illinois,1946,13,14,1
Douglas C-47A-DL,California,1959,17,43,1
Douglas C-54A,Alberta,1948,7,1,3
Douglas C-54A,Quebec,1959,17,1,3
Douglas C-54A,Washington,1947,11,11,3
