Type,Location,Date,CrashesInYear,CrashesInPlace,FailureRate
ATR-72-202,Italy,2005,14,16,1
ATR-72-212,Indiana,1994,21,5,1
Aero Commander  520,Alaska,1956,10,26,1
Aerospatiale Alenia ATR-42,Kosovo,1999,28,1,1
Aerospatiale BAe Concorde 101,France,2000,25,17,1
Aerospatiale Caravelle Super 10B,United Arab Emirates,1972,17,3,1
Aerospatiale Nord 262A-33,California,1979,12,43,1
Airbus A-310-204,Thailand,1998,20,10,1
Airbus A-310-324ET,Russia,2006,11,25,1
Airbus A-320-233,Brazil,2007,10,12,2
Airbus A-320-233,Honduras,2008,9,2,2
Airbus A-330-243,Azores,2001,25,2,1
Airbus A-340,Canada,2005,14,13,1
Airbus A.320-214,Philippines,1998,20,16,1
Airbus A300-622R,Taiwan,1998,20,9,1
Airbus A300B2-1C,Algeria,1994,21,3,1
Airbus A300B4-203,Nepal,1992,16,6,1
Airbus A300B4-622R,Aichi,1994,21,1,2
Airbus A300B4-622R,South Korea,1994,21,3,2
Airbus A310-304,Nepal,1992,16,6,2
Airbus A310-304,Russia,1994,21,25,2
Airbus A320-211,Russia,2006,11,25,2
Airbus A320-212,Bahrain,2000,25,1,1
Airbus A330-203,570 miles northeast of Natal,2009,6,1,1
Airspeed Ambassador A5-57,Germany,1958,9,4,1
Antonov AN-140-100,Azerbaijan,2005,14,1,1
Antonov AN-24,Cuba,1997,25,4,1
Antonov AN-24 / Yakovlev Yak-40,Russia,1976,10,25,1
Antonov AN-24B,Egypt,1966,18,6,3
Antonov AN-24B,Italy,1995,19,16,3
Antonov AN-24RV,Russia,1997,25,25,2
Antonov AN-24RV,Sri Lanka,1998,20,1,2
Antonov AN-26,Russia,2002,24,25,1
BAC One Eleven 204AF,Pennsylvania,1967,18,14,1
BAC One-Eleven 525FT,Nigeria,2002,24,7,1
BAC One-Eleven 528FL,England,1990,14,7,1
BAC One-Eleven 529FR,Argentina,1981,6,2,1
BAC VC-10-1101,Nigeria,1969,14,7,1
BAe 146-200,Norway,2006,11,4,1
BAe 3101 Jetstream 31,Venezuela,2004,18,8,1
BAe HS-748-232 Srs 2A,Gabon,2004,18,1,1
BAe Jetstream 3101-31,Pennsylvania,2000,25,14,1
Bae Jetstream 3201,Missouri,2004,18,9,1
Beech King Air 65-A90,Michigan,1999,28,10,1
Beech Queen Air 65-A80,Alaska,1985,16,26,1
Beechcraft 1900C,Alaska,1987,12,26,3
Beechcraft 1900C,Montana,2008,9,8,3
Beechcraft 1900D / Cessna 177,France,1998,20,17,1
Beechcraft 99,Belgium,1999,28,2,4
Beechcraft 99,Maine,1985,16,3,4
Beechcraft Bonanza 35,Iowa,1959,17,8,1
Beechcraft King Air A100,Minnesota,2002,24,6,1
Bell BHT-206-B Helicopter,Wisconsin,1990,14,4,1
Boeing 247-D,California,1936,5,43,1
Boeing 377 Stratocruiser,Brazil,1952,7,12,1
Boeing 727-243F,Nepal,1999,28,6,1
Boeing 737-2D6C,England,1994,21,7,1
Boeing 737-31S,Greece,2005,14,5,1
Boeing 737-4Q8,Turkey,1999,28,8,1
Boeing 747-244B-SF,Nova Scotia,2004,18,2,1
Boeing 747-2B5F,United Kingdom,1999,28,1,1
Boeing 767-223ER,New York,2001,25,32,1
Boeing B-707 (E-3B),Alaska,1995,19,26,1
Boeing B-707-131B / L1049C Constellation,New York,1965,18,32,1
Boeing B-707-321B,Italy,1973,15,16,5
Boeing B-707-321B,Venezuela,1968,17,8,5
Boeing B-707-321C,Massachusett,1973,15,3,2
Boeing B-707-323 / Cessna 150,New Jersey,1971,12,5,1
Boeing B-707-328,Guadaloupe,1962,17,1,1
Boeing B-707-331B,Azores,1989,21,2,3
Boeing B-707-331B,California,1973,15,43,3
Boeing B-707-338C,Italy,1988,18,16,1
Boeing B-707-340C,Jeddah,1979,12,1,1
Boeing B-707-344C,South Africa (Namibia),1968,17,1,1
Boeing B-707-465,London,1968,17,1,1
Boeing B-720-040B,Egypt,1965,18,6,1
Boeing B-720-047B,California,1971,12,43,1
Boeing B-727-121C,Vietnam,1974,11,3,1
Boeing B-727-214 / Cessna 172,California,1978,11,43,1
Boeing B-727-22,Utah,1965,18,9,2
Boeing B-727-223,Benin,2003,20,1,1
Boeing B-727-224,Colorado,1975,5,11,3
Boeing B-727-225 Adv,Bolivia,1985,16,2,1
Boeing B-727-231,Nigeria,1996,20,7,2
Boeing B-727-231,Virginia,1974,11,11,2
Boeing B-727-256,Vizcaya,1985,16,1,1
Boeing B-727-264,Mexico,1986,9,7,1
Boeing B-727-281 / Air Force F86F,Japan,1971,12,10,1
Boeing B-727-2A7,Virgin Islands,1970,13,3,1
Boeing B-727-64,Canary Islands,1980,7,2,2
Boeing B-727-81,Japan,1966,18,10,2
Boeing B-727-92C,Taiwan,1968,17,9,1
Boeing B-727-95,Virgin Islands,1976,10,3,1
Boeing B-737-222,D.C.,1982,12,2,4
Boeing B-737-222,Miao-li,1981,6,1,4
Boeing B-737-222,Midway Airport,1972,17,1,4
Boeing B-737-222,Peru,1996,20,8,4
Boeing B-737-230A,Turkey,1988,18,8,1
Boeing B-737-236,England,1985,16,7,1
Boeing B-737-241,Brazil,1989,21,12,1
Boeing B-737-275,British Columbia,1978,11,8,1
Boeing B-737-2A8 Advanced,India,2000,25,8,1
Boeing B-737-2C3,Brazil,1997,25,12,1
Boeing B-737-2F9,Nigeria,1995,19,7,1
Boeing B-737-2H4,Philippines,2000,25,16,1
Boeing B-737-2H6,near Kampung Ladang,1977,7,1,2
Boeing B-737-3Q8,Egypt,2004,18,6,2
Boeing B-737-3Q8,Indonesia,2002,24,18,2
Boeing B-737-3T5,Calilfornia,2000,25,1,1
Boeing B-737-401,New York,1989,21,32,1
Boeing B-737-497,Indonesia,2007,10,18,1
Boeing B-737-4Y0,England,1989,21,7,2
Boeing B-737-4Y0,Turkey,1994,21,8,2
Boeing B-737-505,Russia,2008,9,25,1
Boeing B-737-566,Tunisia,2002,24,1,1
Boeing B-737-8EH /EMB-135JB,Brazil,2006,11,12,1
Boeing B-747-121,California,1971,12,43,2
Boeing B-747-121A,Scotland,1988,18,3,1
Boeing B-747-122,Hawaii,1989,21,8,2
Boeing B-747-131,New York,1996,20,32,1
Boeing B-747-131F,Spain,1976,10,11,1
Boeing B-747-230B,Russia,1983,11,25,1
Boeing B-747-244B,Indian Ocean,1987,12,1,1
Boeing B-747-258F,Netherlands,1992,16,4,1
Boeing B-747-283B,Spain,1983,11,11,1
Boeing B-747-412,Taiwan,2000,25,9,1
Boeing B-747-SR46,near Ueno Village,1985,16,1,1
Boeing B-757-200,Peru,1996,20,8,1
Boeing B-757-222,Pennsylvania,2001,25,14,1
Boeing B-757-223,Virginia.,2001,25,1,2
Boeing B-767-200ER,South Korea,2002,24,3,2
Boeing B-767-366ER,Massachusetts,1999,28,6,1
Bombardier DHC-8-402 Q400,New York,2009,6,32,1
Bristol Britannia 102,Slovenia,1966,18,1,1
British Aerospace  BAe Jetstream 32EP,Mexico,2000,25,7,1
British Aerospace 3101 Jetstream 31,Washington,1989,21,11,1
British Aerospace BAe-125-800A,Minnesota,2008,9,6,1
British Aerospace BAe-146-100,Morroco,1998,20,1,1
CASA 212 Aviocar 200,Costa Rica,1990,14,3,3
CASA 212 Aviocar 200,Michigan,1987,12,10,3
CASA 212 Aviocar 200,Puerto Rico,1987,12,5,3
Canadair CL-601-2A12 Challenger,Colorado,2004,18,11,1
Canadair CRJ-200ER,Kentucky,2006,11,2,1
Casa 212-AB10 Aviocar,Chile,2000,25,4,1
Cessna 207 Skywagon,New Zealand,2002,24,6,1
Cessna 208A Caravan I Cargomaster,Colorado,1990,14,11,1
Cessna 208B Caravan I,Alaska,1997,25,26,3
Cessna 208B Caravan I Super Cargomaster,British Columbia,1998,20,8,5
Cessna 208B Caravan I Super Cargomaster,Washington,2000,25,11,5
Cessna 208B Cargomaster I,Alabama,2002,24,5,1
Cessna 208B Grand Caravan,Nicaragua,1999,28,1,4
Cessna 402B,Bahamas,2001,25,1,1
Cessna 404 Titan Ambassador,Scotland,1999,28,3,1
Cessna P210N,California,2005,14,43,1
Convair 600,Arkansas,1973,15,3,1
Convair CV-240,California,1957,10,43,2
Convair CV-240,Wyoming,1954,8,8,2
Convair CV-340,Iowa,1955,11,8,1
Convair CV-440,California,1974,11,43,1
Convair CV-440-0,Germany,1966,18,4,1
Convair CV-580,Illinois,1968,17,14,7
Convair CV-580F,New Zealand,2003,20,6,1
Convair CV-880-22M-3,China,1967,18,12,1
Convair CV-990-30A-6,Switzerland,1970,13,5,1
Curtiss C-46,Colombia,1960,17,12,3
Curtiss C-46A-50-CU,New York,1951,12,32,1
Curtiss C-46F-1CU,California,1952,7,43,1
Dornier 228-212,Malaysia,1997,25,1,1
Dornier DO-228-212,Taiwan,1997,25,9,1
Douglas C-47A-80-DL,Colombia,1966,18,12,1
Douglas C-47A-DL,California,1959,17,43,1
Douglas C-53-DO (DC-3A),Utah,1965,18,9,1
