Type,Location,Date,CrashesInYear,CrashesInPlace,FailureRate
ATR-42-300,Venezuela,2008,9,8,1
Aerospatiale ATR-42-512,Italy,1997,25,16,1
Airbus A-300-605R,Queens,2001,25,2,1
Airbus A-310-324,Sudan,2008,9,3,1
Airbus A300-B4-200,Indonesia,1997,25,18,1
Airbus A300B2-203,near Bandar Abbas,1988,18,1,1
Airbus A310-324,Romania,1995,19,1,1
Airbus A320-111,France,1988,18,17,2
Airbus A320-111,near Strasbourg,1992,16,1,2
Airbus A320-211,Poland,1993,15,3,2
Airbus A320-214,New York,2009,6,32,1
Airbus A320-231,India,1990,14,8,1
Airbus A330-321,France,1994,21,17,1
AirbusA310-304,Ivory Coast,2000,25,2,1
Antonov 2TP,Italy,2002,24,16,1
Antonov AN-12BP,Russia,2007,10,25,1
Antonov AN-140,Iran,2002,24,2,1
Antonov AN-24B,Sudan,2005,14,3,3
Antonov AN-24V,Cambodia,2007,10,2,1
Antonov AN-28,Estonia,2003,20,1,1
Antonov AN-32,Peru,1998,20,8,1
Antonov An-124,Italy,1996,20,16,1
BAC One-Eleven 203AE,Nebraska,1966,18,2,1
BAC Super VC-10 1154,Ethiopia,1972,17,3,1
BAE Avro RJ100,Switzerland,2001,25,5,1
BAe Avro RJ-100,Turkey,2003,20,8,1
Beech A36,Iowa,2003,20,8,1
Beech BE-1900D,North Carolina,2003,20,7,1
Beech D18S,Florida,1964,14,12,1
Beechcraft 18H,Wisconsin,1967,18,4,1
Beechcraft 1900-C / Beech King Air A90,Illinois,1996,20,14,1
Beechcraft 1900C,New York,1992,16,32,3
Beechcraft 1900C-1,Philippines,1990,14,16,1
Beechcraft 1900D,Canada,1999,28,13,1
Beechcraft 99,Montana,2004,18,8,4
Beechcraft 99,Washington,1978,11,11,4
Beechcraft 99A,Washington,1981,6,11,1
Beechcraft B-99,Georgia,1969,14,6,1
Beechcraft B99,Virginia,1985,16,11,1
Beechcraft BE-99-C99,Alabama,1991,13,5,1
Beechcraft C99,Alabama,1992,16,5,1
