ID,Date,Location,Operator,Type,Aboard,Fatalities
0,09/17/1908,"Fort Myer, Virginia",Military - U.S. Army,Wright Flyer III,2,1
1,07/12/1912,"AtlantiCity, New Jersey",Military - U.S. Navy,Dirigible,5,5
2,08/06/1913,"Victoria, British Columbia, Canada",Private,Curtiss seaplane,1,1
3,09/09/1913,Over the North Sea,Military - German Navy,Zeppelin L-1 (airship),20,14
4,10/17/1913,"Near Johannisthal, Germany",Military - German Navy,Zeppelin L-2 (airship),30,30
5,03/05/1915,"Tienen, Belgium",Military - German Navy,Zeppelin L-8 (airship),41,21
6,09/03/1915,"Off Cuxhaven, Germany",Military - German Navy,Zeppelin L-10 (airship),19,19
7,07/28/1916,"Near Jambol, Bulgeria",Military - German Army,Schutte-Lanz S-L-10 (airship),20,20
8,09/24/1916,"Billericay, England",Military - German Navy,Zeppelin L-32 (airship),22,22
9,10/01/1916,"Potters Bar, England",Military - German Navy,Zeppelin L-31 (airship),19,19
10,11/21/1916,"Mainz, Germany",Military - German Army,Super Zeppelin (airship),28,27
11,11/28/1916,"Off West Hartlepool, England",Military - German Navy,Zeppelin L-34 (airship),20,20
12,03/04/1917,"Near Gent, Belgium",Military - German Army,Airship,20,20
13,03/30/1917,Off Northern Germany,Military - German Navy,Schutte-Lanz S-L-9 (airship),23,23
14,05/14/1917,"Near Texel Island, North Sea",Military - German Navy,Zeppelin L-22 (airship),21,21
15,06/14/1917,"Off Vlieland Island, North Sea",Military - German Navy,Zeppelin L-43 (airship),24,24
16,08/21/1917,Off western Denmark,Military - German Navy,Zeppelin L-23 (airship),18,18
17,10/20/1917,"Near Luneville, France",Military - German Navy,Zeppelin L-44 (airship),18,18
18,04/07/1918,Over the Mediterranean,Military - German Navy,Zeppelin L-59 (airship),23,23
19,05/10/1918,"Off Helgoland Island, Germany",Military - German Navy,Zeppelin L-70 (airship),22,22
20,08/11/1918,"Ameland Island, North Sea",Military - German Navy,Zeppelin L-53 (airship),19,19
21,12/16/1918,"Elizabeth, New Jersey",US Aerial Mail Service,De Havilland DH-4,1,1
22,05/25/1919,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1
23,07/19/1919,"Dix Run, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,1
24,10/02/1919,"Newcastle, England",Aircraft Transport and Travel,De Havilland DH-4,1,1
25,10/14/1919,"Cantonsville, Maryland",US Aerial Mail Service,Curtiss R-4LM,1,1
27,10/30/1919,"Long Valley, New Jersey",US Aerial Mail Service,De Havilland DH.4,1,1
28,03/10/1920,"New Paris, Indiana",US Aerial Mail Service,De Havilland DH-4,1,1
29,03/30/1920,"Newark, New Jersey",US Aerial Mail Service,De Havilland DH-4,1,1
30,04/10/1920,"Newark, New Jersey",US Aerial Mail Service,Curtiss R-4LM,2,1
31,04/11/1920,"Heller Field, New Jersey",US Aerial Mail Service,Curtiss JN-4H,2,1
32,05/12/1920,"Oskaloosa, Iowa",US Aerial Mail Service,De Havilland DH-4,2,1
33,06/06/1920,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1
34,08/16/1920,"Bedford, England",By Air,Armstrong-Whitworth F-K-8,1,1
35,08/16/1920,"College Park, Maryland",US Aerial Mail Service,De Havilland DH-4,1,1
36,09/01/1920,"Morristown, New Jersey",US Aerial Mail Service,Junkers JL-6,2,2
37,09/15/1920,"Pemberville, Ohio",US Aerial Mail Service,Junkers F-13,2,2
38,09/27/1920,"Hillersburg, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,1
39,10/02/1920,"Off Port Vendres, France",Latecoere Airlines,Salmson 2-A-2,2,2
40,10/05/1920,"Valencia, Spain",Latecoere Airlines,Breguet 14,2,2
41,10/15/1920,"Batavia, Illinois",US Aerial Mail Service,De Havilland DH-4,1,1
42,11/07/1920,"Tie Siding, Wyoming",US Aerial Mail Service,De Havilland DH-4,1,1
43,12/14/1920,"Cricklewood, England",Handley Page Transport,Handley Page HP-16,8,4
44,12/24/1920,"Barcelona, Spain",Aeropostale,Breguet 14,1,1
45,02/03/1921,"Mendotta, Minnisota",US Aerial Mail Service,De Havilland DH-4,1,1
46,02/09/1921,"La Crosse, Wisconsin",US Aerial Mail Service,Junkers F-13,3,3
47,02/15/1921,Off Gibraltar,Aeropostale,Breguet 14,2,2
48,02/22/1921,"Elko, Nevada",US Aerial Mail Service,De Havilland DH-4,1,1
50,04/21/1921,"Mitchel Field, NY",US Aerial Mail Service,De Havilland DH-4,1,1
51,04/29/1921,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1
53,07/16/1921,"San Francisco, California",US Aerial Mail Service,De Havilland DH-4,1,1
54,08/14/1921,"Toulouse, France",Aeropostale,Breguet 14,2,2
55,08/24/1921,"River Humber, England",Military - Royal Airship Works,Royal Airship Works ZR-2 (airship),46,46
56,09/06/1921,"Paris, France",Franco-Roumaine,Potez IX,5,5
57,12/05/1921,"Near Murchinson River, Australia",West Australian Airways,Bristol 28 Tourer,3,3
58,01/14/1922,"Paris, France",Handley Page Transport,Handley Page O/10,5,5
